Age,10L,20L,30L,50L,75L,1Cr
0,2825,3670,4220,4855,5440,5980
1,2825,3670,4220,4855,5440,5980
2,2825,3670,4220,4855,5440,5980
3,2825,3670,4220,4855,5440,5980
4,2825,3670,4220,4855,5440,5980
5,2825,3670,4220,4855,5440,5980
6,2825,3670,4220,4855,5440,5980
7,2825,3670,4220,4855,5440,5980
8,2825,3670,4220,4855,5440,5980
9,2825,3670,4220,4855,5440,5980
10,2825,3670,4220,4855,5440,5980
11,2825,3670,4220,4855,5440,5980
12,2825,3670,4220,4855,5440,5980
13,2825,3670,4220,4855,5440,5980
14,2825,3670,4220,4855,5440,5980
15,2825,3670,4220,4855,5440,5980
16,4655,6055,6965,8005,8970,9865
17,4655,6055,6965,8005,8970,9865
18,4655,6055,6965,8005,8970,9865
19,4655,6055,6965,8005,8970,9865
20,4655,6055,6965,8005,8970,9865
21,5875,7635,8780,10100,11310,12440
22,6405,8328,9581,11032,12355,13590
23,6935,9021,10383,11964,13400,14740
24,7466,9714,11184,12896,14446,15889
25,7996,10407,11986,13828,15491,17039
26,8526,11101,12787,14760,16536,18189
27,9056,11794,13588,15692,17581,19339
28,9586,12487,14390,16624,18626,20489
29,10116,13180,15191,17557,19671,21639
30,10647,13873,15992,18489,20717,22788
31,11177,14566,16794,19421,21762,23938
32,11707,15259,17595,20353,22807,25088
33,12237,15952,18397,21285,23852,26238
34,12767,16645,19198,22217,24897,27388
35,13297,17338,19999,23149,25942,28538
36,13828,18032,20801,24081,26988,29687
37,14358,18725,21602,25013,28033,30837
38,14888,19418,22403,25945,29078,31987
39,15418,20111,23205,26877,30123,33137
40,15948,20804,24006,27809,31168,34287
41,16478,21497,24808,28741,32213,35437
42,17009,22190,25609,29673,33259,36586
43,17539,22883,26410,30606,34304,37736
44,18069,23576,27212,31538,35349,38886
45,18599,24269,28013,32470,36394,40036
46,19129,24963,28814,33402,37439,41186
47,19659,25656,29616,34334,38484,42336
48,20190,26349,30417,35266,39530,43485
49,20720,27042,31219,36198,40575,44635
50,21250,27735,32020,37130,41620,45785
51,22470,29315,33840,39225,43965,48365
52,23755,30990,35770,41440,46445,51095
53,25120,32765,37805,43785,49075,53985
54,26565,34645,39965,46270,51855,57045
55,28095,36630,42250,48900,54800,60280
56,29710,38735,44670,51680,57915,63710
57,31425,40960,47230,54625,61210,67335
58,33235,43315,49940,57740,64700,71175
59,35155,45810,52810,61040,68395,75240
60,37185,48450,55845,64530,72305,79540
61,28545.0082,37227.77049,42949.16721,49727.69836,55729.77049,61307.63934
62,29059.64622,37899.23215,43724.11655,50625.63575,56736.12216,62414.78689
63,29574.28424,38570.69381,44499.06589,51523.57314,57742.47382,63521.93443
64,30088.92226,39242.15547,45274.01523,52421.51052,58748.82549,64629.08197
65,30603.56029,39913.61713,46048.96457,53319.44791,59755.17715,65736.22951
66,31118.19831,40585.07879,46823.91391,54217.3853,60761.52882,66843.37705
67,31632.83633,41256.54045,47598.86325,55115.32269,61767.88049,67950.52459
68,32147.47435,41928.00212,48373.81259,56013.26007,62774.23215,69057.67213
69,32662.11237,42599.46378,49148.76192,56911.19746,63780.58382,70164.81967
70,33176.7504,43270.92544,49923.71126,57809.13485,64786.93548,71271.96721
71,33691.38842,43942.3871,50698.6606,58707.07224,65793.28715,72379.11475
72,34206.02644,44613.84876,51473.60994,59605.00962,66799.63882,73486.2623
73,34720.66446,45285.31042,52248.55928,60502.94701,67805.99048,74593.40984
74,35235.30249,45956.77208,53023.50862,61400.8844,68812.34215,75700.55738
75,35749.94051,46628.23374,53798.45796,62298.82179,69818.69381,76807.70492
76,36264.57853,47299.6954,54573.4073,63196.75918,70825.04548,77914.85246
77,36779.21655,47971.15706,55348.35664,64094.69656,71831.39714,79022
78,37293.85457,48642.61872,56123.30598,64992.63395,72837.74881,80129.14754
79,37808.4926,49314.08038,56898.25531,65890.57134,73844.10048,81236.29508
80,38323.13062,49985.54204,57673.20465,66788.50873,74850.45214,82343.44262
81,38837.76864,50657.0037,58448.15399,67686.44611,75856.80381,83450.59016
82,39352.40666,51328.46536,59223.10333,68584.3835,76863.15547,84557.7377
83,39867.04469,51999.92702,59998.05267,69482.32089,77869.50714,85664.88525
84,40381.68271,52671.38868,60773.00201,70380.25828,78875.8588,86772.03279
85,40896.32073,53342.85034,61547.95135,71278.19566,79882.21047,87879.18033
86,41410.95875,54014.312,62322.90069,72176.13305,80888.56214,88986.32787
87,41925.59677,54685.77366,63097.85003,73074.07044,81894.9138,90093.47541
88,42440.2348,55357.23533,63872.79937,73972.00783,82901.26547,91200.62295
89,42954.87282,56028.69699,64647.7487,74869.94521,83907.61713,92307.77049
90,43469.51084,56700.15865,65422.69804,75767.8826,84913.9688,93414.91803
91,43984.14886,57371.62031,66197.64738,76665.81999,85920.32047,94522.06557
92,44498.78689,58043.08197,66972.59672,77563.75738,86926.67213,95629.21311
93,45013.42491,58714.54363,67747.54606,78461.69476,87933.0238,96736.36066
94,45528.06293,59386.00529,68522.4954,79359.63215,88939.37546,97843.5082
95,46042.70095,60057.46695,69297.44474,80257.56954,89945.72713,98950.65574
96,46557.33897,60728.92861,70072.39408,81155.50693,90952.07879,100057.8033
97,47071.977,61400.39027,70847.34342,82053.44432,91958.43046,101164.9508
98,47586.61502,62071.85193,71622.29276,82951.3817,92964.78213,102272.0984
99,48101.25304,62743.31359,72397.24209,83849.31909,93971.13379,103379.2459
100,48615.89106,63414.77525,73172.19143,84747.25648,94977.48546,104486.3934
